Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 20:25:14 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2006-0610-PHL,2006,0610,,Natural,Meteorological,Storm,Tropical cyclone,,Queenie (Chebi),Philippines (the),PHL,South-Eastern Asia,Asia,"Isabela district (Region II (Cagayan Valley) province), Aurora, Nueva Ecija districts (Region III (Central Luzon) province)",,"Slide (land, mud, snow, rock)",,,,,,130,Kph,,,,,2006,11,13,2006,11,13,6,10,21250,,21260,,,,,,,74.39638749,2,,24217;24222;24226,"Aurora, Isabela, Nueva Ecija (Adm2)."
2006-0161-USA,2006,0161,,Natural,Meteorological,Storm,Convective storm,Hail,,United States of America (the),USA,Northern America,Americas,"Tennessee, Illinois, Arkansas, Indiana, Oklahoma, Missouri, Kentucky, Iowa provinces",,Hail,,,,,,,Kph,,,,,2006,4,2,2006,4,3,28,36,3600,,3636,,,450000,604868,600000,806491,74.39638749,1,3217;3227;3228;3229;3231;3239;3250;3256,,"Arkansas, Illinois, Indiana, Iowa, Kentucky, Missouri, Oklahoma, Tennessee (Adm1)."
2006-0171-USA,2006,0171,,Natural,Meteorological,Storm,Convective storm,Hail,,United States of America (the),USA,Northern America,Americas,"Sumner, Warren districts (Tennessee province), Alabama, Georgia, Indiana, Kansas, Kentucky, Ohio provinces",,Hail,,,,,,,Kph,,,,,2006,4,6,2006,4,8,12,160,465,,625,,,2000000,2688303,1600000,2150642,74.39638749,1;2,3214;3224;3228;3230;3231;3249,31187;31193,"Alabama, Georgia, Indiana, Kansas, Kentucky, Ohio (Adm1). Sumner, Warren (Adm2)."
2006-0257-USA,2006,0257,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Tarrant, Bexar districts (Texas province)",,Hail,,,,,,,Kph,,,,,2006,5,1,2006,5,7,1,,600,,600,,,400000,537661,450000,604868,74.39638749,2,,31214;31419,"Bexar, Tarrant (Adm2)."
2006-0388-PHL,2006,0388,,Natural,Meteorological,Storm,Tropical cyclone,,Kaemi,Philippines (the),PHL,South-Eastern Asia,Asia,Region III (Central Luzon) province,,Rain,,,,,,,Kph,26.39,117.39,,,2006,7,24,2006,7,28,4,,200355,,200355,,,,,471,633,74.39638749,1,67165,,Region III (Central Luzon) (Adm1).
2006-0415-PHL,2006,0415,,Natural,Meteorological,Storm,Tropical cyclone,,Henry,Philippines (the),PHL,South-Eastern Asia,Asia,"Tarlac, Zambales, Nueva Ecija districts (Region III (Central Luzon) provinces)",,Rain,,,,,,,Kph,15.86,120.74,,,2006,6,30,2006,8,2,8,,476027,,476027,,,,,645,867,74.39638749,2,,24222;24224;24225,"Nueva Ecija, Tarlac, Zambales (Adm2)."
2006-0743-USA,2006,0743,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee provinces",,Rain,,,,,,,Kph,,,,,2006,11,30,2006,12,3,11,,,,,,,450000,604868,,,74.39638749,1,3227;3228;3231;3239;3246;3249;3252;3256,,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee (Adm1)."
2006-0604-MEX,2006,0604,,Natural,Meteorological,Storm,Tropical cyclone,,Paul,Mexico,MEX,Central America,Americas,"La Reforma area (Culiacan district, Sinaloa province)",,Flood,,,,,,,Kph,24.93,-107.53,,,2006,10,25,2006,10,28,4,,20000,,20000,,,,,,,74.39638749,2,,20881,Culiacan (Adm2).
2006-0128-USA,2006,0128,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Missouri, Arkansas, Illinois, Indiana, Kansas, Oklahoma provinces",,Flood,,,,,,202,Kph,,,,,2006,3,11,2006,3,13,10,42,,,42,,,800000,1075321,1200000,1612982,74.39638749,1,3217;3227;3228;3230;3239;3250,,"Arkansas, Illinois, Indiana, Kansas, Missouri, Oklahoma (Adm1)."
2006-0595-USA,2006,0595,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"North Carolina, Alabama, Arizona, Arkansas, Louisiana, Maryland, Mississippi, Pennsylvania, South Dakota, Texas provinces",,Flood,,,,,,,Kph,,,,,2006,11,15,2006,11,16,12,20,,,20,,,62500,84009,95000,127694,74.39638749,1,3214;3216;3217;3232;3234;3238;3247;3252;3255;3257,,"Alabama, Arizona, Arkansas, Louisiana, Maryland, Mississippi, North Carolina, Pennsylvania, South Dakota, Texas (Adm1)."
2006-0642-USA,2006,0642,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Erie, Niagara, Genesee, Orleans districts (New York province)",,Flood,,,,Yes,,,Kph,,,,,2006,10,12,2006,10,14,3,,,,,,,200000,268830,300000,403245,74.39638749,2,,30519;30523;30536;30541,"Erie, Genesee, Niagara, Orleans (Adm2)."
2006-0466-USA,2006,0466,,Natural,Meteorological,Storm,Tropical cyclone,,Ernesto,United States of America (the),USA,Northern America,Americas,"South Carolina, North Carolina, Virginia provinces",,Flood,,,,,,119,Kph,34.74,-77.87,,,2006,8,2,2006,9,7,6,,140,,140,,,,,32860,44169,74.39638749,1,3247;3254;3260,,"North Carolina, South Carolina, Virginia (Adm1)."
2006-0709-MEX,2006,0709,,Natural,Meteorological,Extreme temperature,Cold wave,,,Mexico,MEX,Central America,Americas,"Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz, Yucatan, Zacatecas provinces",,,,,,,,,°C,,,,,2006,11,,2006,11,,5,,,,,,,,,,,74.39638749,1,2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059,,"Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz, Yucatan, Zacatecas (Adm1)."
2006-0450-PHL,2006,0450,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)",,,,,,,120,,,13.257,123.685,,,2006,8,13,2006,8,13,,,43849,,43849,,,,,,,74.39638749,2,,24240,Albay (Adm2).
2006-0410-PHL,2006,0410,,Natural,Meteorological,Storm,Tropical cyclone,,Prapiroon,Philippines (the),PHL,South-Eastern Asia,Asia,Quirino district (Region II (Cagayan Valley) province),,,,,,,,,Kph,21.11,110.11,,,2006,8,2,2006,8,6,6,,15000,,15000,,,,,135000,181460,74.39638749,2,,24219,Quirino (Adm2).
2006-0667-PHL,2006,0667,,Natural,Meteorological,Storm,Tropical cyclone,,Utor (Seniang),Philippines (the),PHL,South-Eastern Asia,Asia,"Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",,,,,,,,150,Kph,,,,,2006,12,11,2006,12,11,42,42,327500,,327542,,,,,,,74.39638749,1,2361;2362;2363;2364;67167,,"Region IV (Southern Tagalog), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) (Adm1)."
2006-0706-USA,2006,0706,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Daytona beach (Volusia district, Florida province)",,,,,,,,193,Kph,,,,,2006,12,25,2006,12,25,,,600,,600,,,56000,75272,90000,120974,74.39638749,2,,29061,Volusia (Adm2).
2006-0707-USA,2006,0707,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,Colorado provinces,,,,,,Yes,,,Kph,,,,,2006,12,21,2006,12,21,,,,,,,,,,,,74.39638749,1,3219,,Colorado (Adm1).
2006-0718-USA,2006,0718,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,Kansas province,,,,,,Yes,,,Kph,,,,,2006,12,27,2006,12,31,,,,,,,,,,360000,483894,74.39638749,1,3230,,Kansas (Adm1).
2006-0387-USA,2006,0387,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Modesto city (Stanislaus district, California province)",,,,,,,,50,°C,,,,,2006,7,14,2006,8,15,164,,,,,,,,,,,74.39638749,2,,28914,Stanislaus (Adm2).
2006-0427-USA,2006,0427,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,New York province,,,,,,Yes,,44,°C,,,,,2006,7,30,2006,8,6,24,,,,,,,,,,,74.39638749,1,3246,,New York (Adm1).
2006-0744-USA,2006,0744,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Oregon, Washington provinces",,,,,,,,,Kph,,,,,2006,12,14,2006,12,15,10,,,,,,,200000,268830,,,74.39638749,1,3251;3261,,"Oregon, Washington (Adm1)."
2007-0026-USA,2007,0026,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"California, Texas, Georgia, South Carolina, Oklahoma, Missouri, Iowa, Michigan, New York, Maine, Kansas, Illinois provinces",,Rain,Cold wave,,,Yes,,,Kph,,,,,2007,1,12,2007,1,17,65,220,,,220,,,200000,261374,500000,653435,76.5186792,1,3218;3224;3227;3229;3230;3233;3236;3239;3246;3250;3254;3257,,"California, Georgia, Illinois, Iowa, Kansas, Maine, Michigan, Missouri, New York, Oklahoma, South Carolina, Texas (Adm1)."
2007-0066-USA,2007,0066,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New York, Vermont, New Jersey, Ohio, Pennsylvania provinces",,Cold wave,,,,,,64,Kph,,,,,2007,2,14,2007,2,15,16,,,,,,,200000,261374,140000,182962,76.5186792,1,3244;3246;3249;3252;3259,,"New Jersey, New York, Ohio, Pennsylvania, Vermont (Adm1)."
2007-0048-USA,2007,0048,TO-2007-000024,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Volusia, Lake, Sumter, Seminole districts (Florida province)",,,,,,Yes,,265,Kph,,,,,2007,2,2,2007,2,2,20,,6600,,6600,,,200000,261374,130000,169893,76.5186792,2,,29031;29054;29057;29061,"Lake, Seminole, Sumter, Volusia (Adm2)."
2007-0440-IDN,2007,0440,EQ-2007-000157,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bengkulu, Jambi, Riau, Sumatera Barat provinces",,Tsunami/Tidal wave,,Yes,,,,8,Richter,-4.438,101.367,18:00,,2007,9,12,2007,9,12,25,82,422685,36800,459567,,,,,500000,653435,76.5186792,1,1514;1518;1535;73618,,"Bengkulu, Jambi, Riau, Sumatera Barat (Adm1)."
2007-0263-BOL,2007,0263,CW-2007-000090,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Bolivia (Plurinational State of),BOL,South America,Americas,La Paz province,,Snow/ice,,,,,,,°C,,,,,2007,7,,2007,7,,,,,,,,,,,,,76.5186792,1,40446,,La Paz (Adm1).
2007-0621-CAN,2007,0621,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,"Toronto, Ottawa districts (Ontario province), Montreal district (Quebec province)",,,,,,,,,Kph,,,,,2007,12,23,2007,12,26,4,,,,,,,,,,,76.5186792,2,,12671;12686;12713,"Montreal, Ottawa, Toronto (Adm2)."
2007-0087-IDN,2007,0087,EQ-2007-000033,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tanahdatar, Solok, Kota Solok, Padangpariaman, Kota Padangpanjang, Kota Payakumbuh, Kota Bukitinggi, Agam, Limapuluhkoto, Kota Pariaman districts (Sumatera Barat province)",,,,Yes,,,1900,6,Richter,-0.488,100.53,10:49,,2007,3,6,2007,3,6,67,826,136834,,137660,,,5000,6534,200000,261374,76.5186792,2,,18202;18205;18207;18208;18215;73716;73743;73746;73819;73853,"Agam, Kota Bukitinggi, Kota Padangpanjang, Kota Pariaman, Kota Payakumbuh, Kota Solok, Limapuluhkoto, Padangpariaman, Solok, Tanahdatar (Adm2)."
2007-0485-IDN,2007,0485,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Situbondo district (Java Timur province),,,,,,,,5,Richter,-7.783,114.338,01:36,,2007,9,9,2007,9,9,,19,450,,469,,,,,,,76.5186792,2,,18096,Situbondo (Adm2).
2007-0565-IDN,2007,0565,EQ-2007-000218,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Sumbawa district (Nusatengarra Barat province),,,,,,,,7,Richter,-8.292,118.37,00:02,,2007,11,25,2007,11,25,3,1800,20000,,21800,,,,,,,76.5186792,2,,73858,Sumbawa (Adm2).
2007-0259-IDN,2007,0259,VO-2007-000095,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamkonora,Indonesia,IDN,South-Eastern Asia,Asia,"South Ibu sub-district (Halmahera Barat district, Maluku Utara province)",,,,,,,,,,,,14:50,,2007,7,9,2007,7,9,,,9758,,9758,,,,,,,76.5186792,2,,73677,Halmahera Barat (Adm2).
2007-0511-IDN,2007,0511,VO-2007-000186,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Kediri, Blitar districts (Jawa Timur province)",,,,,,,,,,-7.93,112.308,,,2007,10,16,2007,10,18,,,22154,,22154,,,,,,,76.5186792,2,,18066;18072,"Blitar, Kediri (Adm2)."
2008-0533-BOL,2008,0533,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Bolivia (Plurinational State of),BOL,South America,Americas,"San Lorenzo town (Mendez district, Tarija province), Uriondo town (Avilez district, Tarija province), Cercado district (Tarija province)",,Hail,,,,Yes,124,,Kph,,,,,2008,11,8,2008,11,9,,,6655,,6655,,,,,,,79.4563044,2,,40537;40538;40540,"Avilez, Cercado, Mendez (Adm2)."
2008-9640-BDI,2008,9640,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Kirundo, Ngozi, Muyinga, Cankuzo, Karuzi, Ruyigi provinces",,Food shortage,,,,,,,Km2,,,,,2008,9,,2009,1,,,,82500,,82500,,,,,,,79.4563044,1,40546;40549;40551;40554;40556;40558,,"Cankuzo, Karuzi, Kirundo, Muyinga, Ngozi, Ruyigi (Adm1)."
2008-9661-BOL,2008,9661,,Natural,Climatological,Drought,Drought,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz, Oruro, Tarija, Chuquisaca, Santa Cruz provinces","El Nino, dry ecosystem, high temperatures and lon period withoit rainfall",,,,,Yes,,,Km2,,,,,2008,12,,2009,,,,,27500,,27500,,,,,,,79.4563044,1,40444;40446;40447;40449;40450,,"Chuquisaca, La Paz, Oruro, Santa Cruz, Tarija (Adm1)."
2008-0071-IDN,2008,0071,EQ-2008-000028,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Simeulue district (Nangroe Aceh Darussalam province),,,,,,,,7,Richter,2.768,95.964,15:08,,2008,2,20,2008,2,20,3,25,,,25,,,,,,,79.4563044,2,,73850,Simeulue (Adm2).
2008-0403-IDN,2008,0403,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jarai village (Lahat district, Sumatra Selatan province)",,,,,,,,5,Richter,-3.935,103.058,,,2008,9,9,2008,9,9,2,60,565,,625,,,,,,,79.4563044,2,,73769,Lahat (Adm2).
2008-0536-IDN,2008,0536,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Buol district (Sulawesi Tengah province) Gorontalo province,,,,,,,,7,Richter,1.271,122.091,01:02,,2008,11,16,2008,11,16,6,77,10000,,10077,,,,,,,79.4563044,1;2,73611,73664,Gorontalo (Adm1). Buol (Adm2).
2008-0162-IDN,2008,0162,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Egon,Indonesia,IDN,South-Eastern Asia,Asia,Sikka district (Nusatenggara Timur province),,,,,,,,,,,,,,2008,4,15,2008,4,15,,,600,,600,,,,,,,79.4563044,2,,18156,Sikka (Adm2).
2009-0001-IDN,2009,0001,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Manokwari , Sorong districts (Papua Barat province)",,,,,,,,8,Richter,-0.414,132.885,04:43,,2009,1,3,2009,1,3,5,250,4000,,4250,,,,,10000,12630,79.17380276,2,,73790;73855,"Manokwari, Sorong (Adm2)."
2009-0112-IDN,2009,0112,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Kepulauan-talaud district (Sulawesi Utara province),,,,,,,,7,Richter,3.886,126.387,,,2009,2,11,2009,2,11,,64,2985,,3049,,,,,9000,11367,79.17380276,2,,73701,Kepulauan-talaud (Adm2).
2007-0464-MEX,2007,0464,,Natural,Meteorological,Storm,Tropical cyclone,,Lorenzo,Mexico,MEX,Central America,Americas,"Veracruz, Puebla provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,20.93,-97.85,,,2007,9,28,2007,10,1,5,,33000,,33000,,,,,,,76.5186792,1,2048;2057,,"Puebla, Veracruz (Adm1)."
2007-0346-PHL,2007,0346,TC-2007-000125,Natural,Meteorological,Storm,Tropical cyclone,,Chedeng and Dodong,Philippines (the),PHL,South-Eastern Asia,Asia,"National Capital region (NCR), Region III (Central Luzon) provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2007,8,8,2007,8,13,7,7,921455,,921462,,,,,492,643,76.5186792,1,2355;67165,,"National Capital region (NCR), Region III (Central Luzon) (Adm1)."
2007-0463-PHL,2007,0463,TC-2007-000178,Natural,Meteorological,Storm,Tropical cyclone,,Lekima,Philippines (the),PHL,South-Eastern Asia,Asia,"Ifugao, Kalinga districts (Cordillera Administrative region (CAR) province)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,17.07,106.9,,,2007,9,29,2007,10,12,8,,2000,,2000,,,,,,,76.5186792,2,,24207;24208,"Ifugao, Kalinga (Adm2)."
2007-0576-PHL,2007,0576,TC-2007-000211,Natural,Meteorological,Storm,Tropical cyclone,,Mitag (Mina) (23),Philippines (the),PHL,South-Eastern Asia,Asia,"Isabela district (Region II (Cagayan Valley) province), Camarines Sur, Camarines Norte districts (Region V (Bicol region) province)",,Flood,"Slide (land, mud, snow, rock)",,,,,170,Kph,17.08,122.01,,,2007,11,25,2007,12,2,29,6,443109,,443115,,,,,5000,6534,76.5186792,2,,24217;24241;24242,"Camarines Norte, Camarines Sur, Isabela (Adm2)."
2007-0578-PHL,2007,0578,FL-2007-000210,Natural,Meteorological,Storm,Tropical cyclone,,Hagibis (Lando) (24),Philippines (the),PHL,South-Eastern Asia,Asia,"Region VII (Central Visayas), Region X (Northern Mindanao) provinces",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,129,Kph,8.796,124.83,,,2007,11,18,2007,11,23,20,11,35322,,35333,,,,,1000,1307,76.5186792,1,2363;67160,,"Region VII (Central Visayas), Region X (Northern Mindanao) (Adm1)."
2007-0667-PHL,2007,0667,,Natural,Meteorological,Storm,Tropical cyclone,,Hanna,Philippines (the),PHL,South-Eastern Asia,Asia,"Region V (Bicol region), Region X (Northern Mindanao), Region XII (Soccsksargen) Region XIII (Caraga), Cordillera Administrative region (CAR), National Capital region (NCR) provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2007,9,29,2007,9,30,11,,12515,,12515,,,,,260,340,76.5186792,1,2354;2355;2361;2368;67160;67162,,"Cordillera Administrative region (CAR), National Capital region (NCR), Region V (Bicol region), Region X (Northern Mindanao), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1)."
2007-0581-USA,2007,0581,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Washington, Oregon provinces",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,160,Kph,47.09,-122.91,,,2007,12,3,2007,12,7,17,28,1100,,1128,,,200000,261374,1000000,1306870,76.5186792,1,3251;3261,,"Oregon, Washington (Adm1)."
2007-0662-USA,2007,0662,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Colorado, Iowa, Kansas, Minnesota, Missouri, Nebraska, Oklahoma, South Dakota provinces",,Flood,Hail,,,,,,Kph,,,,,2007,5,4,2007,5,8,12,40,,,40,,,200000,261374,350000,457405,76.5186792,1,3219;3229;3230;3237;3239;3241;3250;3255,,"Colorado, Iowa, Kansas, Minnesota, Missouri, Nebraska, Oklahoma, South Dakota (Adm1)."
2007-0663-USA,2007,0663,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Texas, Delaware, Connecticut, Georgia, Louisiana, Massachusetts, Maine, Maryland, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Vermont, Virginia provinces",,Flood,Hail,,,,,1300,Kph,,,,,2007,4,13,2007,4,17,23,,,,,,,1566000,2046559,2000000,2613741,76.5186792,1,3220;3221;3224;3232;3233;3234;3235;3238;3243;3244;3246;3247;3252;3253;3254;3257;3259;3260,,"Connecticut, Delaware, Georgia, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Texas, Vermont, Virginia (Adm1)."
2007-0690-USA,2007,0690,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Iowa, Kansas, Minnesota, Texas, Wisconsin provinces",,Hail,,,,,,128,Kph,,,,,2007,5,21,2007,5,25,5,,,,,,,200000,261374,300000,392061,76.5186792,1,3229;3230;3237;3257;3263,,"Iowa, Kansas, Minnesota, Texas, Wisconsin (Adm1)."
2007-0689-USA,2007,0689,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Arkansas, Iowa, Texas",,Cold wave,,,,,,,Kph,,,,,2007,2,23,2007,2,25,4,27,,,27,,,200000,261374,300000,392061,76.5186792,1,3217;3229;3257,,"Arkansas, Iowa, Texas (Adm1)."
2007-0360-MEX,2007,0360,TC-2007-000135,Natural,Meteorological,Storm,Tropical cyclone,,Dean,Mexico,MEX,Central America,Americas,"Yucatan, Quintana Roo, Campeche, Veracruz, Hidalgo, Puebla provinces",,Flood,,Yes,,Yes,,265,Kph,14.54,-61.02,,,2007,8,21,2007,8,24,9,,140000,,140000,,,475000,620763,600000,784122,76.5186792,1,2031;2040;2048;2050;2057;2058,,"Campeche, Hidalgo, Puebla, Quintana Roo, Veracruz, Yucatan (Adm1)."
2007-0439-MEX,2007,0439,TC-2007-000150,Natural,Meteorological,Storm,Tropical cyclone,,Felix,Mexico,MEX,Central America,Americas,"Veracruz, Tamaulipas, San Luis Potosi provinces",,Flood,,,,,,,Kph,14.62,-83.64,,,2007,9,4,2007,9,6,,,,30000,30000,,,,,,,76.5186792,1,2051;2055;2057,,"San Luis Potosi, Tamaulipas, Veracruz (Adm1)."
2007-0380-PHL,2007,0380,TC-2007-000137,Natural,Meteorological,Storm,Tropical cyclone,,Sepat,Philippines (the),PHL,South-Eastern Asia,Asia,"Region III (Central Luzon), Region IV-A (Calabarzon), Region V (Bicol region) provinces",Heavy rain,Flood,,,,,,,Kph,27,119.91,,,2007,8,17,2007,8,24,3,,380000,,380000,,,,,492,643,76.5186792,1,2361;67165;67166,,"Region III (Central Luzon), Region IV-A (Calabarzon), Region V (Bicol region) (Adm1)."
2007-0457-PHL,2007,0457,TC-2007-000162,Natural,Meteorological,Storm,Tropical cyclone,,Wipha/Goring,Philippines (the),PHL,South-Eastern Asia,Asia,Negros Occidental district (Region VI (Western Visayas) province),,Flood,,,,,,,Kph,38.57,125.83,,,2007,9,17,2007,9,25,2,,30000,,30000,,,,,,,76.5186792,2,,24251,Negros Occidental (Adm2).
2007-0668-PHL,2007,0668,,Natural,Meteorological,Storm,Tropical cyclone,,Goring,Philippines (the),PHL,South-Eastern Asia,Asia,"Region IV (Southern Tagalog), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",,Flood,,,,,,,Kph,,,,,2007,9,18,2007,9,18,1,,64000,,64000,,,,,,,76.5186792,1,2362;2363;2364;2368;67156;67159;67160;67161;67162;67167,,"Autonomous region in Muslim Mindanao (ARMM), Region IV (Southern Tagalog), Region IX (Zamboanga Peninsula), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1)."
2007-0156-USA,2007,0156,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,Texas province,,Flood,,,,,,240,Kph,,,,,2007,4,24,2007,4,26,10,80,,200,280,,,,,,,76.5186792,1,3257,,Texas (Adm1).
2007-0359-USA,2007,0359,,Natural,Meteorological,Storm,Tropical cyclone,,Erin,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Missouri provinces",,Flood,,,,,,132,Kph,,,,,2007,8,16,2007,8,19,7,,,,,,,,,,,76.5186792,1,3239;3250;3257,,"Missouri, Oklahoma, Texas (Adm1)."
